rain,temperature,rh,dew_point,wind_speed,gust_speed,wind_ direction,fruto,severidad,target
0,29.826,65.107,22.777,0.5,1.5,156,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,0,0
0,29.826,65.107,22.777,0.5,1.5,156,10,0,0
0,29.826,65.107,22.777,0.5,1.5,156,1,0,0
0,29.826,65.107,22.777,0.5,1.5,156,2,0,0
0,29.826,65.107,22.777,0.5,1.5,156,3,0,0
0,29.826,65.107,22.777,0.5,1.5,156,4,0,0
0,29.826,65.107,22.777,0.5,1.5,156,5,0,0
0,29.826,65.107,22.777,0.5,1.5,156,6,0,0
0,29.826,65.107,22.777,0.5,1.5,156,7,0,0
0,29.826,65.107,22.777,0.5,1.5,156,8,0,0
0,29.826,65.107,22.777,0.5,1.5,156,9,0,0
