Rain,Temperature,RH,Dew Point,Wind Speed,Gust Speed,Wind Direction,FRUTO,INCIDENCIA,target
0,33.151,60.9,24.614,0,2,204,1,0,1
0,33.194,56.014,23.259,0,1.5,284,2,0,0
0,31.692,61.701,23.461,0,1.5,261,3,0,0
0,31.692,63.766,24.009,0,1.5,256,4,0,0
0,30.899,65.01,23.58,0.5,2,302,5,1,1
0,31.22,65.742,24.071,0,1.5,331,6,0,0
0,30.77,65.913,23.687,0.5,2,340,7,0,0
0,30.47,65.49,23.296,0.5,1.5,310,8,0,0
0,30.791,68.559,24.364,0.5,2,319,9,0,0
0,31.263,65.473,24.044,0,2,319,10,1,1
0,30.706,65.263,23.461,0.5,2,338,1,0,0
0,30.062,65.911,23.015,1,3,333,2,0,0
0,29.655,71.56,23.993,0.5,2,11,3,0,0
0,29.118,71.507,23.466,0.5,2,320,4,0,0
0,28.797,73.117,23.527,0,1.5,326,5,0,0
0,28.496,75.39,23.747,0,1,338,6,0,0
0,28.432,76.301,23.885,0,1,338,7,0,0
0,28.368,76.185,23.797,0,0.5,338,8,0,0
0,28.368,77.739,24.134,0,0.5,338,9,0,0
0,28.732,77.482,24.432,0,0,338,10,1,1
0,29.247,76.208,24.653,0,0.5,338,1,0,0
0,28.775,78.888,24.775,0,0,338,2,0,0
0,28.454,81.056,24.917,0,0,338,3,0,0
0,28.068,81.34,24.6,0,0.5,338,4,0,0
0,27.681,81.735,24.304,0,1,10,5,1,1
0,27.317,83.145,24.234,0,1,77,6,0,0
0,27.081,83.226,24.019,0,1.5,79,7,1,1
0,26.931,84.468,24.119,0,0.5,79,8,1,1
0,26.781,85.196,24.115,0,0,79,9,1,0
0,26.652,86.299,24.204,0,0,79,10,0,0
0,26.437,86.535,24.039,0,0,79,1,0,0
0,26.287,87.553,24.086,0,0,79,2,1,0
0,26.137,88.428,24.104,0,0,79,3,1,1
0,25.944,88.893,24.002,0,0,79,4,0,0
0,25.816,89.442,23.977,0,0.5,79,5,1,0
0,25.665,89.494,23.839,0,0,79,6,1,1
0,25.558,90.033,23.833,0,0,79,7,1,1
0,25.408,90.935,23.85,0,0,79,8,1,1
0,25.236,92.021,23.878,0,0,79,9,0,0
0,25.108,92.447,23.828,0,1,79,10,0,0
0,25.022,92.511,23.754,0,0,79,1,0,0
0,24.915,92.615,23.667,0,0.5,79,2,0,0
0,24.786,92.908,23.591,0,0,79,3,0,0
0,24.743,93.399,23.637,0,0,79,4,0,0
0,24.529,94.154,23.557,0,0,79,5,0,0
0,24.4,94.244,23.445,0,0,79,6,0,0
0,24.25,93.933,23.241,0,0,79,7,0,0
0,24.228,95.94,23.571,0,0,79,8,0,0
0,24.164,95.343,23.403,0,0,79,9,0,0
0,23.971,95.435,23.227,0,0,79,10,0,0
0,23.907,96.776,23.394,0,0,79,1,0,0
0,23.928,96.968,23.449,0,0,79,2,0,0
0,23.928,96.68,23.399,0,0,79,3,0,0
0,23.885,97.098,23.428,0,0,79,4,0,0
0,23.842,97.462,23.448,0,0,79,5,0,0
0,23.821,97.595,23.449,0,0,79,6,0,0
0,23.735,97.395,23.329,0,0,79,7,0,0
0,23.692,97.716,23.341,0,0,79,8,0,0
0,23.692,97.714,23.341,0,0,79,9,0,0
0,23.606,97.716,23.255,0,0,79,10,0,0
0,23.563,97.92,23.247,0,0,79,1,0,0
0,23.542,98.036,23.245,0,0,79,2,0,0
0,23.499,98.141,23.22,0,0,79,3,0,0
0,23.563,98.279,23.308,0,0,79,4,0,0
0,23.585,98.552,23.375,0,0,79,5,0,0
0,23.606,98.402,23.371,0,0,79,6,0,0
0,23.563,98.511,23.347,0,0,79,7,0,0
0,23.563,98.672,23.374,0,0,79,8,0,0
0,23.585,98.726,23.404,0,0,79,9,0,0
0,23.606,98.837,23.445,0,0,79,10,0,0
0,23.649,98.694,23.463,0,0,79,1,0,0
0,23.606,98.618,23.408,0,0,79,2,0,0
0,23.606,98.744,23.429,0,0,79,3,0,0
0,23.628,98.764,23.454,0,0,79,4,0,0
0,23.671,99.161,23.563,0,0,79,5,0,0
0,23.714,99.034,23.585,0,0,79,6,0,0
0,23.649,99.248,23.556,0,0,79,7,0,0
0,23.649,99.408,23.583,0,0,79,8,0,0
0,23.671,99.44,23.61,0,0,79,9,0,0
0,23.692,99.455,23.634,0,0,79,10,0,0
0,23.671,99.431,23.609,0,0,79,1,0,0
0,23.671,99.464,23.614,0,0,79,2,0,0
0,23.649,99.4,23.582,0,0,79,3,0,0
0,23.649,99.492,23.597,0,0.5,79,4,0,0
0,23.649,99.289,23.563,0,1,74,5,0,0
0,23.606,99.422,23.543,0,0,73,6,0,0
0,23.606,99.432,23.544,0,0,73,7,0,0
0,23.606,99.243,23.513,0,0,73,8,0,0
0,23.563,99.193,23.461,0,0,73,9,0,0
0,23.499,99.167,23.393,0,0,73,10,0,0
0,23.392,99.129,23.279,0,0,73,1,0,0
0,23.349,99.13,23.236,0,0,73,2,0,0
0,23.349,99.483,23.295,0,0,73,3,0,0
0,23.392,99.254,23.3,0,0,73,4,0,0
0,23.328,99.295,23.242,0,0,73,5,0,0
0,23.328,99.551,23.285,0,0,73,6,0,0
0,23.392,99.62,23.361,0,0,73,7,0,0
0,23.392,99.582,23.355,0,0,73,8,0,0
0,23.392,99.803,23.392,0,0,73,9,0,0
0,23.37,99.693,23.352,0,0,73,10,0,0
