rain,temperature,rh,dew_point,wind_speed,gust_speed,wind_ direction,planta,fruto,severidad
0,29.826,65.107,22.777,0.5,1.5,156,PL001,1,0
0,29.826,65.107,22.777,0.5,1.5,156,PL001,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL001,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL001,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL001,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL001,6,0
0,29.826,65.107,22.777,0.5,1.5,156,PL001,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL001,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL001,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL001,10,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,1,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,6,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL002,10,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,1,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,6,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL003,10,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,1,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,6,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL004,10,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,1,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,2,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,3,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,4,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,5,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,6,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL005,10,0
0,29.826,65.107,22.777,0.5,1.5,156,PL006,1,0
